,Community Area,Community Area Name,Year,Male 15-44,Incidence Rate Lower CI,Incidence Rate Upper CI
0,1,Rogers Park,2000,115.0,494.9,716.3
1,1,Rogers Park,2001,112.0,490.6,713.6
2,1,Rogers Park,2002,125.0,565.9,806.5
3,1,Rogers Park,2003,83.0,370.8,577.2
4,1,Rogers Park,2004,64.0,282.6,468.7
5,1,Rogers Park,2005,63.0,283.9,472.6
6,1,Rogers Park,2006,58.0,264.3,449.9
7,1,Rogers Park,2007,62.0,292.0,488.2
8,1,Rogers Park,2008,74.0,365.6,584.5
9,1,Rogers Park,2009,63.0,312.2,519.8
10,1,Rogers Park,2010,57.0,285.5,488.4
11,1,Rogers Park,2011,64.0,326.0,540.5
12,1,Rogers Park,2012,102.0,543.7,805.5
13,1,Rogers Park,2013,100.0,531.8,791.0
14,1,Rogers Park,2014,112.0,603.5,877.9
15,2,West Ridge,2000,23.0,88.6,209.6
16,2,West Ridge,2001,29.0,118.6,254.3
17,2,West Ridge,2002,27.0,109.3,241.2
18,2,West Ridge,2003,22.0,85.1,205.6
19,2,West Ridge,2004,14.0,47.5,145.8
20,2,West Ridge,2005,20.0,76.3,192.9
21,2,West Ridge,2006,23.0,91.6,216.8
22,2,West Ridge,2007,26.0,107.3,240.6
23,2,West Ridge,2008,16.0,58.1,165.2
24,2,West Ridge,2009,11.0,35.1,125.8
25,2,West Ridge,2010,20.0,78.6,198.6
26,2,West Ridge,2011,32.0,140.7,290.4
27,2,West Ridge,2012,37.0,167.4,327.8
28,2,West Ridge,2013,30.0,130.1,275.2
29,2,West Ridge,2014,33.0,146.0,297.9
30,3,Uptown,2000,165.0,725.6,987.0
31,3,Uptown,2001,152.0,673.3,927.9
32,3,Uptown,2002,119.0,522.0,750.6
33,3,Uptown,2003,97.0,427.1,642.5
34,3,Uptown,2004,107.0,478.3,701.9
35,3,Uptown,2005,76.0,335.5,533.0
36,3,Uptown,2006,90.0,412.0,629.8
37,3,Uptown,2007,82.0,377.4,589.0
38,3,Uptown,2008,52.0,228.5,401.1
39,3,Uptown,2009,45.0,196.4,360.2
40,3,Uptown,2010,62.0,289.3,483.8
41,3,Uptown,2011,77.0,369.9,585.8
42,3,Uptown,2012,137.0,694.2,973.4
43,3,Uptown,2013,150.0,766.9,1059.1
44,3,Uptown,2014,235.0,1247.4,1613.2
45,4,Lincoln Square,2000,17.0,82.3,226.2
46,4,Lincoln Square,2001,18.0,89.6,239.0
47,4,Lincoln Square,2002,11.0,46.6,167.1
48,4,Lincoln Square,2003,6.0,18.9,112.1
49,4,Lincoln Square,2004,11.0,47.7,170.9
50,4,Lincoln Square,2005,16.0,80.3,228.2
51,4,Lincoln Square,2006,13.0,61.5,197.5
52,4,Lincoln Square,2007,15.0,75.4,222.3
53,4,Lincoln Square,2008,17.0,90.1,247.5
54,4,Lincoln Square,2009,9.0,37.9,157.2
55,4,Lincoln Square,2010,16.0,85.2,242.0
56,4,Lincoln Square,2011,21.0,121.0,298.8
57,4,Lincoln Square,2012,15.0,78.2,230.4
58,4,Lincoln Square,2013,17.0,92.2,253.5
59,4,Lincoln Square,2014,15.0,78.2,230.4
60,5,North Center,2000,14.0,78.8,241.9
61,5,North Center,2001,12.0,64.3,217.5
62,5,North Center,2002,16.0,95.6,271.5
63,5,North Center,2003,19.0,120.4,312.3
64,5,North Center,2004,13.0,73.4,235.6
65,5,North Center,2005,11.0,58.7,210.2
66,5,North Center,2006,11.0,59.1,211.9
67,5,North Center,2007,,,
68,5,North Center,2008,7.0,30.8,157.6
69,5,North Center,2009,8.0,38.0,173.6
70,5,North Center,2010,7.0,31.2,160.1
71,5,North Center,2011,17.0,109.9,302.0
72,5,North Center,2012,18.0,118.4,315.6
73,5,North Center,2013,16.0,101.5,288.2
74,5,North Center,2014,17.0,109.9,302.0
75,6,Lake View,2000,127.0,303.3,430.9
76,6,Lake View,2001,88.0,205.2,315.3
77,6,Lake View,2002,85.0,198.7,307.6
78,6,Lake View,2003,122.0,295.5,423.1
79,6,Lake View,2004,106.0,254.4,374.0
80,6,Lake View,2005,116.0,283.1,409.1
81,6,Lake View,2006,118.0,290.4,418.2
82,6,Lake View,2007,113.0,278.5,404.5
83,6,Lake View,2008,88.0,214.7,329.8
84,6,Lake View,2009,88.0,216.1,332.0
85,6,Lake View,2010,99.0,248.1,371.6
86,6,Lake View,2011,116.0,292.5,422.7
87,6,Lake View,2012,182.0,479.6,642.6
88,6,Lake View,2013,187.0,493.9,659.1
89,6,Lake View,2014,262.0,710.0,905.6
90,7,Lincoln Park,2000,24.0,71.8,166.6
91,7,Lincoln Park,2001,22.0,65.0,157.0
92,7,Lincoln Park,2002,30.0,96.3,203.9
93,7,Lincoln Park,2003,24.0,73.9,171.7
94,7,Lincoln Park,2004,26.0,82.5,185.1
95,7,Lincoln Park,2005,16.0,44.9,127.5
96,7,Lincoln Park,2006,10.0,23.8,91.2
97,7,Lincoln Park,2007,14.0,38.3,117.6
98,7,Lincoln Park,2008,22.0,69.8,168.7
99,7,Lincoln Park,2009,22.0,70.6,170.5
100,7,Lincoln Park,2010,21.0,67.2,166.0
101,7,Lincoln Park,2011,18.0,55.2,147.1
102,7,Lincoln Park,2012,26.0,87.9,197.1
103,7,Lincoln Park,2013,22.0,71.3,172.3
104,7,Lincoln Park,2014,45.0,169.7,311.4
105,8,Near North Side,2000,101.0,436.1,647.5
106,8,Near North Side,2001,78.0,326.2,515.1
107,8,Near North Side,2002,82.0,340.5,531.4
108,8,Near North Side,2003,84.0,345.1,535.7
109,8,Near North Side,2004,67.0,264.0,432.5
110,8,Near North Side,2005,60.0,229.8,387.6
111,8,Near North Side,2006,46.0,166.9,304.0
112,8,Near North Side,2007,38.0,131.6,255.2
113,8,Near North Side,2008,44.0,154.5,285.4
114,8,Near North Side,2009,20.0,58.3,147.5
115,8,Near North Side,2010,28.0,87.7,190.8
116,8,Near North Side,2011,50.0,175.0,310.9
117,8,Near North Side,2012,52.0,183.1,321.5
118,8,Near North Side,2013,53.0,187.2,326.9
119,8,Near North Side,2014,49.0,171.0,305.5
120,9,Edison Park,2000,0.0,0.0,0.0
121,9,Edison Park,2001,,,
122,9,Edison Park,2002,,,
123,9,Edison Park,2003,,,
124,9,Edison Park,2004,0.0,0.0,0.0
125,9,Edison Park,2005,,,
126,9,Edison Park,2006,,,
127,9,Edison Park,2007,0.0,0.0,0.0
128,9,Edison Park,2008,0.0,0.0,0.0
129,9,Edison Park,2009,0.0,0.0,0.0
130,9,Edison Park,2010,,,
131,9,Edison Park,2011,0.0,0.0,0.0
132,9,Edison Park,2012,,,
133,9,Edison Park,2013,0.0,0.0,0.0
134,9,Edison Park,2014,,,
135,10,Norwood Park,2000,0.0,0.0,0.0
136,10,Norwood Park,2001,5.0,23.5,169.2
137,10,Norwood Park,2002,,,
138,10,Norwood Park,2003,,,
139,10,Norwood Park,2004,,,
140,10,Norwood Park,2005,,,
141,10,Norwood Park,2006,,,
142,10,Norwood Park,2007,,,
143,10,Norwood Park,2008,,,
144,10,Norwood Park,2009,,,
145,10,Norwood Park,2010,,,
146,10,Norwood Park,2011,,,
147,10,Norwood Park,2012,,,
148,10,Norwood Park,2013,0.0,0.0,0.0
149,10,Norwood Park,2014,,,
150,11,Jefferson Park,2000,,,
151,11,Jefferson Park,2001,,,
152,11,Jefferson Park,2002,5.0,29.5,212.4
153,11,Jefferson Park,2003,,,
154,11,Jefferson Park,2004,,,
155,11,Jefferson Park,2005,,,
156,11,Jefferson Park,2006,5.0,30.5,219.1
157,11,Jefferson Park,2007,,,
158,11,Jefferson Park,2008,,,
159,11,Jefferson Park,2009,,,
160,11,Jefferson Park,2010,,,
161,11,Jefferson Park,2011,,,
162,11,Jefferson Park,2012,,,
163,11,Jefferson Park,2013,,,
164,11,Jefferson Park,2014,,,
165,12,Forest Glen,2000,,,
166,12,Forest Glen,2001,0.0,0.0,0.0
167,12,Forest Glen,2002,0.0,0.0,0.0
168,12,Forest Glen,2003,,,
169,12,Forest Glen,2004,,,
170,12,Forest Glen,2005,0.0,0.0,0.0
171,12,Forest Glen,2006,0.0,0.0,0.0
172,12,Forest Glen,2007,0.0,0.0,0.0
173,12,Forest Glen,2008,0.0,0.0,0.0
174,12,Forest Glen,2009,0.0,0.0,0.0
175,12,Forest Glen,2010,,,
176,12,Forest Glen,2011,,,
177,12,Forest Glen,2012,,,
178,12,Forest Glen,2013,,,
179,12,Forest Glen,2014,,,
180,13,North Park,2000,,,
